section,metric,unit,Y1_Q1,Y1_Q2,Y1_Q3,Y1_Q4,Y2_Q1,Y2_Q2,Y2_Q3,Y2_Q4,Y3_Q1,Y3_Q2,Y3_Q3,Y3_Q4
customers,starter_customers,count,0,2,5,8,12,17,22,28,38,48,59,70
customers,growth_customers,count,0,1,3,6,10,15,20,26,35,45,55,65
customers,enterprise_customers,count,0,0,0,1,2,3,4,6,8,10,12,15
customers,total_customers,count,0,3,8,15,24,35,46,60,81,103,126,150
arr,starter_arr,EUR,0,20400,51000,81600,122400,173400,224400,285600,387600,489600,601800,714000
arr,growth_arr,EUR,0,30000,90000,180000,300000,450000,600000,780000,1050000,1350000,1650000,1950000
arr,enterprise_arr,EUR,0,0,0,72000,144000,216000,288000,432000,576000,720000,864000,1080000
arr,usage_arr,EUR,0,2000,8000,18000,35000,60000,90000,130000,190000,260000,340000,430000
arr,total_arr_eoq,EUR,0,52400,149000,351600,601400,899400,1202400,1627600,2203600,2819600,3455800,4174000
pnl,recognized_revenue,EUR,0,13000,38000,89000,119000,188000,263000,354000,479000,628000,782000,911000
pnl,cogs,EUR,0,3000,8000,18000,24000,36000,49000,64000,86000,112000,139000,163000
pnl,gross_profit,EUR,0,10000,30000,71000,95000,152000,214000,290000,393000,516000,643000,748000
pnl,people_cost,EUR,90000,115000,140000,165000,250000,310000,350000,390000,520000,590000,660000,730000
pnl,other_opex,EUR,25000,35000,40000,50000,80000,95000,105000,120000,150000,170000,185000,195000
pnl,ebitda,EUR,-115000,-140000,-150000,-144000,-235000,-253000,-241000,-220000,-277000,-244000,-202000,-177000
pnl,grants,EUR,50000,80000,20000,0,50000,50000,0,0,0,0,0,0
pnl,net_burn,EUR,-65000,-60000,-130000,-144000,-185000,-203000,-241000,-220000,-277000,-244000,-202000,-177000
cash,funding_in,EUR,150000,0,750000,0,0,0,3000000,0,0,0,0,0
cash,cash_eoq,EUR,85000,25000,645000,501000,316000,113000,2872000,2652000,2375000,2131000,1929000,1752000
headcount,engineering,FTE,2,3,3,4,5,6,6,7,8,8,9,11
headcount,compliance_experts,FTE,0,1,1,1,2,2,3,3,4,4,5,5
headcount,sales_cs,FTE,1,1,1,1,2,2,3,3,4,5,6,7
headcount,ops_finance,FTE,0,0,0,0,0,1,1,1,2,2,3,3
headcount,total_fte,FTE,3,5,5,6,9,11,13,14,18,19,23,26
unit_econ,avg_acv,EUR,0,17467,18625,23440,25058,25697,26139,27127,27205,27375,27427,27827
unit_econ,cac_blended,EUR,0,15000,13000,12000,11000,10500,10000,9500,9000,8500,8000,7500
unit_econ,gross_margin_pct,pct,0,77,79,80,80,81,81,82,82,82,82,82
notes,assumption,text,"Prices: Starter EUR850/mo; Growth EUR2500/mo; Enterprise from EUR6000/mo. Usage margin ~35% of screening/IDV passthrough. Churn 8% gross annually netted into customer counts. Grants: Fit4Start EUR150k Y1 (50/80/20 tranches) + EUR100k follow-on Y2. Funding: pre-seed EUR750k in Y1_Q3; seed EUR3.0M in Y2_Q3. People cost loaded avg EUR85-96k/FTE. Recognized revenue lags ARR (mid-quarter starts). Break-even run-rate approached Y3_Q4.",,,,,,,,,,,
